	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABTB1	6.9582449409461	6.90320988567822	7.52425144988155	7.53701578725515	7.63226108198266	7.29384507113374	7.44704265593672	7.18417258811332
ABTB2	9.67557631960314	9.64731230181211	9.38285443362992	9.38479405456571	9.15155813365367	9.31747284425614	9.2644088859374	9.36696098751799
ACAA1	9.64250292076282	9.76546030554283	9.61185972348585	9.77255534159304	9.46128191469001	9.84760169807003	9.70961577326578	9.87208200206321
ACAA2	9.67895482748989	9.72774933422383	9.68369497887209	9.78865667948722	9.83449328639127	9.86148558867256	9.8198562651436	9.81539534681125
ACACA	12.1164306115839	12.0073086558913	11.8990608572534	11.8087629497199	11.8435560587301	11.8246213383811	11.9184442194738	11.8999934335987
ACACB	8.98815980873304	8.84130603955482	8.86740871849314	8.90484210656615	8.68870669685232	8.94747133886678	8.91601750716737	8.92612516024632
ACAD10	9.23458676798946	9.18663102763277	9.00463139632467	9.07920093123969	8.90677159973232	8.66668767402825	8.62855217847	8.70356599800315
ACAD11	6.55934253738069	6.32426141765172	6.6915734298076	7.02675557264793	6.71500509359297	6.26172710890191	6.62433372787797	6.58419267846656
ACAD8	9.43703933628086	9.36332492930165	9.16172083865963	9.171399529434	9.13201725022381	9.22599063547259	9.17907127278754	9.28582988512609
ACAD9	10.8794467203532	10.8730699294646	10.538520059234	10.5560872688674	10.5833511584715	10.8772049682963	10.8190579149913	10.8390251021472
ACADL	6.73407760555877	6.58750381336179	6.59551961111492	6.40742566386462	6.65054374405921	7.04405649587298	7.06585526989501	6.87462114253828
ACADM	11.1856697537604	11.209087482162	11.0101112293696	10.946301881005	11.1162309993429	10.8962137771568	10.9701512348037	10.8846395957687
ACADS	7.15221977288353	7.58802365690418	7.8756157849334	7.92384220513406	7.81981548618034	7.55534631554924	7.43842760012973	7.60666057563568
ACADSB	10.3934450965528	10.4297730682358	9.98675438106371	9.98690943089947	10.0826803278412	10.276480805693	10.3299636360165	10.2438880453188
ACADVL	10.1153283781941	10.3457268217779	10.6170662231987	10.7790756375262	10.7579603257264	9.97822468722724	9.90361111625552	10.1953486092788
ACAN	4.08557600789451	3.67383815062704	5.16804650010459	4.74841807033686	5.2374642498229	3.30880694344838	3.85853866666972	3.37311197167259
ACAP1	2.27341665713308	2.07311837176014	2.93691942060959	3.02486723557749	3.11288771550381	3.30880694344838	1.62189271010242	2.32536356564879
ACAP2	10.9533845360618	10.906406243643	10.8644462443691	10.7746729691437	10.9970738249888	10.8806178194098	10.9589004126142	10.8178046805114
ACAP3	10.0155293317936	10.0881201923497	9.96649652520257	10.0108160598443	9.91215806931331	9.79214063635509	9.80987174543952	10.0280432971603
ACAT1	11.0852732680852	11.1559908526198	11.2284893910628	11.1464211612672	11.1880094441083	11.2079731115902	11.1920138848292	11.2037591056512
