gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SHC2	425.096786603533	0.474255575567641	0.113654262930232	4.17279179276158	3.0088988172276e-05	0.000260821462860068
CPOX	1811.15299979251	-0.315885065824854	0.0757106770745829	-4.17226576264368	3.01585575423012e-05	0.000261279116149291
FGD4	365.009967817496	-0.538234216443453	0.129029877859942	-4.17139212537805	3.02744370982148e-05	0.000262137246625287
PVR	2088.83607852727	0.272862895267943	0.0654240672789848	4.17068070843695	3.03691121527222e-05	0.000262810922223863
NKX2-1	309.354253909561	-0.516769070048205	0.123944510904404	-4.16935825779956	3.05458514435603e-05	0.000264193630170094
IFNGR1	1248.8570169987	0.332677671439586	0.0798233970798641	4.1676711792501	3.07727406979448e-05	0.000266008314013255
NID2	522.382994359535	0.407604514933829	0.0978844996378877	4.16413749308333	3.12531746736269e-05	0.00027001148191408
MARK3	2230.59352429568	0.255394373247326	0.0613699645048525	4.16155321757001	3.16090314107756e-05	0.000272934524548588
PPP1R12A	2628.76784402269	0.245674536329718	0.0590382703319063	4.16127598163977	3.16474348539306e-05	0.000273114732808685
ID3	3214.59001587176	0.320071043152861	0.0769369296524928	4.16017437397815	3.18004709247927e-05	0.000274283463784881
CYBRD1	300.09060365869	0.528567722175476	0.127071519007618	4.15960811913948	3.18794087700931e-05	0.000274812147433171
TMOD3	1854.37217279648	0.2494836660407	0.0599798460040682	4.15945826242665	3.19003304376827e-05	0.000274840402227756
GPD1L	1461.74039154999	-0.314078661227356	0.0755181581532483	-4.15898201052519	3.19669071550634e-05	0.00027510967555493
MORF4L1	5190.19426260393	0.220779113894351	0.0530834400805259	4.15909582271676	3.19509850049658e-05	0.00027510967555493
COL17A1	16.065035641278	-2.48595941056044	0.597798588726417	-4.15852338470164	3.20311446290632e-05	0.000275510292593549
MAP3K15	629.805646942799	0.373189409218941	0.0897885038189902	4.15631615792679	3.23420192889181e-05	0.000277877349400704
TPCN1	686.542511975394	0.373108872663611	0.0897688473235639	4.15632910288769	3.23401877407273e-05	0.000277877349400704
LSM1	634.375741961586	0.359406571317452	0.0864801025236106	4.15594525017275	3.23945399268246e-05	0.000278175164520478
DSG2	8960.76840559088	0.278318392933403	0.0669848654337333	4.15494442112057	3.25366621909233e-05	0.000279241645701385
HPGD	156.367805500286	-0.731600727831558	0.176145856984829	-4.15338027447655	3.27599650263309e-05	0.000281003290316716
NR3C2	628.751109694383	-0.394177193795051	0.0949129759155374	-4.15303798024232	3.28090258917695e-05	0.000281269232975285
PVRL2	1846.48475374665	0.287737791881173	0.0692924953818533	4.15251017149149	3.28848132769258e-05	0.000281763881416212
ZBTB2	1009.92857003552	0.305862773473945	0.0736744469635661	4.15154488536849	3.30238478759927e-05	0.000282799603278911
NR5A2	125.333118263277	-0.794724151875165	0.191467880373489	-4.15069175218802	3.31471932621126e-05	0.000283699906287872
ZBTB8A	922.353412490713	-0.37615448262311	0.0906545702207455	-4.14931626400266	3.33469824125408e-05	0.000285253127424574
B4GALT1	1047.92344587416	0.326875996117131	0.0788032747886064	4.14800015600864	3.35392170691206e-05	0.000286740057236933
CCT3	16499.1776158725	0.186049369163203	0.0448685258110852	4.14654517392765	3.3752961048451e-05	0.000288093081781765
MNX1	690.158130316586	-0.41772575987129	0.100739628160686	-4.14658826420315	3.37466123266903e-05	0.000288093081781765
VWCE	52.2574102383397	1.10305113224323	0.266003327650092	4.14675689205743	3.37217783820803e-05	0.000288093081781765
DHX29	1598.85275401585	0.2805082870615	0.0676661352373798	4.14547522298189	3.39109669678758e-05	0.000289283205070428
ZDHHC22	397.309482751707	0.427753191501113	0.103281881846101	4.14160919471338	3.44877614094184e-05	0.000294042616023268
SF3B3	9910.16591522193	0.207700405750213	0.0501527688467929	4.14135471532385	3.45260536556178e-05	0.0002940472049172
TBCEL	813.935745195501	-0.340134440808784	0.0821309785976148	-4.14136598171085	3.45243575160114e-05	0.0002940472049172
SRSF2	11551.3706128802	0.229181562329156	0.055363553080932	4.13957467639643	3.47950324704376e-05	0.000296176076935523
MZT2B	1312.30384949606	0.387340588564058	0.0935745056674943	4.13938161683083	3.48243247228889e-05	0.000296263520594451
BBC3	764.241986001844	0.394329874079148	0.0952982462762932	4.13785026993978	3.50575016447836e-05	0.000298084444934931
FAM113A	1249.47997990545	-0.37724744508759	0.0911931055566586	-4.13679787287434	3.52186080735646e-05	0.000299290920873931
IFITM1	105.192483596395	-0.940679766361908	0.22742257706844	-4.1362637715552	3.53006397978063e-05	0.000299661071460724
MLL4	2749.01629229895	0.277991671075593	0.0672075169451653	4.1363181339136	3.52922820877012e-05	0.000299661071460724
KLHL13	744.067512995108	0.350263930139361	0.0847422075901041	4.13328776887167	3.57610513779981e-05	0.000303238920694108
TMEM50A	3589.52999695976	0.25752927081133	0.0623052106560476	4.13335045495642	3.5751294817038e-05	0.000303238920694108
RPS6KA2	501.164436433283	-0.418092738051249	0.101157966698507	-4.13306783139818	3.57953027934018e-05	0.000303364217417204
TNXB	59.9055642722495	1.03444364330495	0.25037084270377	4.13164581040638	3.6017510643524e-05	0.000305081437354091
AGA	267.780408731985	0.529142953366571	0.128114355054976	4.13023937200095	3.62385714350873e-05	0.000306787080024106
FKBP14	666.020463582596	0.396913253982978	0.0961027849578728	4.13009107027405	3.62619560999049e-05	0.000306818299928419
AKIRIN2	2363.11929718609	0.245297495488928	0.0593982751350115	4.1297073851281	3.63225232393836e-05	0.000307163922095483
LRP8	1013.67357295843	-0.329855338486609	0.0798957883527336	-4.12856979432162	3.6502664265526e-05	0.000308519805352197
CNN2	596.514730311602	-0.444986869000616	0.107789496318014	-4.128295281089	3.65462611562255e-05	0.000308720775504623
MCF2L2	101.92272933567	-0.888728052460468	0.215321829760367	-4.12744055467826	3.66823215788552e-05	0.000309702180614541
HBEGF	474.26947946386	0.453941527146508	0.11002245012713	4.12589909261232	3.69289172989968e-05	0.000311615246352369
TRIM46	72.6460578220649	-1.06741342582001	0.258772684647055	-4.12490764732713	3.70883547777281e-05	0.000312791176162789
LOC644649	105.993206967925	-0.809851632976161	0.196392972591113	-4.12362836761098	3.72950456271965e-05	0.000314194118839827
SLC35D1	1150.78337528587	0.291212253894159	0.0706202785575547	4.12363502158695	3.72939677330036e-05	0.000314194118839827
ADH5	1882.64316798862	0.253555339381847	0.0614978532692008	4.12299496491257	3.73977876321381e-05	0.000314889371862603
CCAR1	5350.6359970706	0.223912874348613	0.0543134283670746	4.12260615984888	3.74609873530326e-05	0.000315251107508476
CPT2	1216.83501999138	0.315880694117802	0.0766317835851584	4.12205848982719	3.75501823707995e-05	0.000315831096538847
ST13	4322.73867195632	0.242267246776633	0.0587782552625439	4.12171551697992	3.76061424772395e-05	0.000316131074672401
