Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YGR103W	5503	5257	6237	1253	266	468
YGR104C	624	470	457	607	707	618
YGR105W	1859	2173	1797	1533	1528	1650
YGR106C	6193	6547	7430	3308	3053	4170
tL(GAG)G	1	1	2	1	0	4
tK(UUU)G2	4	4	2	0	2	2
YGR107W	28	43	25	10	10	38
YGR108W	2981	2758	2565	466	1025	1713
YGR109C	121	71	50	68	81	68
tC(GCA)G	0	0	2	0	0	0
YGR109W-A	0	0	0	0	0	0
YGR109W-B	133	88	159	157	235	258
YGR110W	75	66	276	404	593	565
YGR111W	1086	1034	1327	1989	2499	3692
YGR112W	815	795	865	2413	2324	1605
YGR113W	744	625	946	664	690	829
YGR114C	0	0	0	0	0	0
YGR115C	0	0	0	0	0	0
YGR116W	1547	1488	1770	1768	1791	1756
YGR117C	830	827	1338	709	808	1463
YGR118W	19206	21365	19792	8750	5814	10063
YGR119C	2641	2369	2399	2330	2174	2462
YGR120C	656	592	454	711	740	568
tN(GUU)G	1	3	1	1	4	0
YGR121C	3347	3090	1065	1580	2191	868
YGR121W-A	20	26	18	6	9	6
YGR122W	399	292	953	243	295	468
YGR122C-A	24	34	66	16	36	79
tR(UCU)G3	3	7	5	5	2	4
YGR123C	818	765	758	371	104	136
tI(AAU)G	1	6	8	5	1	6
YGR124W	13478	11973	14042	8344	7093	7797
YGR125W	1091	1072	1047	894	1125	1045
YGR126W	103	62	78	299	226	212
YGR127W	382	337	707	1451	2182	3373
YGR128C	1684	1636	1491	796	127	242
YGR129W	550	561	377	591	544	681
YGR130C	1730	1496	2568	2136	4781	6208
YGR131W	242	371	157	209	626	427
YGR132C	3803	4272	4438	9742	8679	8079
YGR133W	274	174	250	372	604	492
YGR134W	494	436	433	514	465	447
YGR135W	6672	7522	7469	12648	11968	11399
YGR136W	1173	932	900	1976	2401	2113
YGR137W	219	207	181	379	659	389
YGR138C	3661	3453	2787	9200	855	731
YGR139W	37	39	20	78	17	14
YGR140W	603	498	512	541	259	139
YGR141W	609	741	1030	1776	2465	2880
YGR142W	1608	1753	4014	2433	6498	4383
tA(AGC)G	1	0	0	0	0	0
YGR143W	843	715	1356	1409	1761	2716
tG(UCC)G	2	2	1	2	0	0
YGR144W	89	130	116	474	779	598
YGR145W	1351	1107	1207	384	150	153
YGR146C	581	479	723	1310	1531	1304
YGR146C-A	13	22	26	41	16	28
YGR147C	1709	1998	1998	2809	2786	2103
YGR148C	17779	18272	17234	6793	4703	6849
YGR149W	1223	1090	1341	1970	1941	1619
YGR150C	957	857	1108	1715	1045	1014
tA(UGC)G	0	0	2	0	0	0
YGR151C	3	2	6	0	1	1
YGR152C	952	821	861	381	212	192
YGR153W	285	337	176	429	342	184
YGR154C	427	430	495	490	483	506
YGR155W	14104	13380	15299	6404	2198	3286
YGR156W	485	415	531	233	329	438
YGR157W	3954	3465	3251	931	407	617
YGR158C	1145	931	717	789	502	456
YGR159C	3378	2779	3387	2431	152	414
YGR160W	13	9	10	2	1	0
YGR161C	1161	1192	1612	2348	4046	2140
YGR161W-C	485	669	655	1131	2235	1213
YGR161W-A	0	0	0	0	0	0
YGR161W-B	4	0	0	1	2	1
YGR161C-D	10	13	34	12	5	28
YGR161C-C	0	0	0	0	0	0
tV(AAC)G2	1	2	10	5	0	9
YGR162W	3388	2773	3137	2051	685	837
YGR163W	1064	840	917	1537	2113	1492
YGR164W	42	49	27	8	6	7
tR(UCU)G2	0	0	0	0	0	0
YGR165W	1879	1992	1732	5210	4207	2562
YGR166W	440	390	473	547	409	512
YGR167W	2736	2081	2941	4007	5174	6400
YGR168C	548	681	671	775	716	651
YGR169C	335	306	406	421	494	499
YGR169C-A	1551	1656	1827	1144	1379	1823
YGR170W	882	747	1044	981	1019	1187
YGR171C	474	455	533	922	806	580
YGR172C	759	788	954	520	576	646
YGR173W	1121	1095	1070	716	361	551
tG(GCC)G1	13	35	29	2	11	10
YGR174C	706	873	813	5019	6697	5038
YGR174W-A	27	32	42	375	538	426
YGR175C	7604	6416	3474	9359	5535	6550
YGR176W	16	17	9	3	5	5
YGR177C	426	216	183	115	108	192
YGR178C	2927	2145	2505	3230	3150	3697
YGR179C	499	426	620	558	666	743
YGR180C	5166	4002	5795	4649	5776	5416
tL(CAA)G3	0	0	0	0	0	0
YGR181W	548	469	694	1041	1187	1157
YGR182C	1272	1792	872	2807	3668	2518
YGR183C	3131	3838	1973	6318	7141	5838
YGR184C	819	689	903	1760	1847	1418
YGR185C	4214	3032	4171	1520	1833	2751
YGR186W	2283	2128	3091	2973	3232	3825
YGR187C	1701	1609	1390	781	337	496
YGR188C	238	216	207	259	264	210
tK(CUU)G3	0	0	2	1	2	0
YGR189C	6005	4438	2908	5812	4936	2374
tW(CCA)G2	2	0	0	1	3	2
YGR190C	103	73	114	60	20	48
YGR191W	1289	1170	1320	965	508	641
YGR192C	72087	66069	77672	81697	78108	93845
YGR193C	1425	883	1261	1333	1810	1759
YGR194C	714	553	1125	2345	4006	3685
YGR195W	1142	936	922	733	679	635
YGR196C	911	867	1109	1331	1375	1646
YGR197C	375	373	799	585	1319	853
YGR198W	907	894	1192	1547	1484	1399
YGR199W	881	814	1055	985	893	1023
YGR200C	1971	1775	1826	970	410	494
YGR201C	703	714	464	8288	11135	10150
YGR202C	1984	1527	1970	1629	1591	1583
YGR203W	253	209	247	419	401	476
YGR204W	3764	2584	3336	2052	1926	2410
YGR204C-A	15	20	54	84	141	109
YGR205W	282	269	752	664	1119	1213
YGR206W	476	639	619	818	1061	1099
YGR207C	2122	2280	2139	3482	3213	3332
YGR208W	2055	2049	1518	1107	786	1076
YGR209C	4129	5056	6230	16018	17832	18188
YGR210C	1854	1929	2238	1327	1305	1545
YGR211W	2171	1554	1872	1258	972	1119
YGR212W	189	113	127	467	539	396
YGR213C	154	145	112	503	570	389
YGR214W	24173	22588	23655	7226	3629	6885
YGR215W	1100	1258	1067	2912	2337	1888
YGR216C	725	713	776	559	431	459
YGR217W	510	584	504	380	320	284
tG(GCC)G2	12	9	11	0	0	0
YGR218W	1461	1719	2365	2299	2091	2160
YGR219W	2	1	3	4	9	2
YGR220C	869	859	816	1520	1473	1147
YGR221C	329	205	376	306	340	357
snR7-L	1	0	2	1	1	0
snR7-S	0	0	0	0	0	0
YGR222W	1010	1195	1344	2021	2332	2423
YGR223C	479	509	817	1529	2385	1926
YGR224W	184	103	233	239	359	486
YGR225W	25	17	39	114	241	275
YGR226C	0	0	0	0	0	0
YGR227W	357	270	384	195	429	423
YGR228W	5	6	5	8	4	1
YGR229C	2721	2450	3058	2537	1474	1559
YGR230W	363	306	359	233	417	561
YGR231C	2394	2237	2778	9740	9222	6698
YGR232W	950	923	1242	2171	2268	2209
YGR233C	642	589	480	786	669	592
YGR234W	25890	24711	8999	10449	4278	1110
YGR235C	1886	2184	2046	5033	4743	4493
YGR236C	11	26	31	912	2999	1969
YGR237C	677	463	1024	1088	1807	1998
YGR238C	600	634	652	538	820	866
YGR239C	976	806	700	1321	999	608
YGR240C	6672	5264	6211	7851	3979	3913
YGR240C-A	190	289	204	205	160	176
YGR241C	478	317	561	432	828	870
YGR242W	21	7	11	12	25	32
YGR243W	277	327	2093	1067	2709	1888
YGR244C	1811	1328	2179	7484	9283	10215
YGR245C	1982	1520	1712	743	265	217
YGR246C	746	735	1076	982	811	1012
YGR247W	684	800	1036	827	1193	1182
YGR248W	272	234	842	1618	7809	9762
YGR249W	301	249	295	386	163	141
YGR250C	3360	4078	6117	13977	4876	5342
YGR251W	672	458	426	1483	185	213
YGR252W	890	720	1177	839	867	1060
YGR253C	5447	5794	5859	10961	9820	8693
YGR254W	24666	22621	26680	52062	44489	50191
YGR255C	1006	868	1469	3513	5130	4658
tT(UGU)G2	2	1	1	0	4	2
YGR256W	107	85	160	12035	17406	18840
YGR257C	1999	2380	2786	2843	2402	2297
YGR258C	448	542	774	2077	1500	1482
YGR259C	2	2	0	1	3	1
YGR260W	2079	1506	2056	1154	1295	1499
YGR261C	1345	1448	1620	1882	1616	1393
YGR262C	1420	1615	1509	1288	1266	1255
YGR263C	436	536	582	1022	953	1075
YGR264C	4594	3977	4695	2455	842	1372
YGR265W	6	8	26	6	10	16
YGR266W	773	716	749	606	675	745
YGR267C	5601	6047	5046	3984	3564	3599
YGR268C	287	223	433	897	1319	1183
